codfarmacia;aniomes;venta
1;2022-01;5798,784135
2;2022-01;7789,912
3;2022-01;10236,41204
4;2022-01;7635,855913
5;2022-01;10479,05578
6;2022-01;5694,528708
6;2022-01;5968,423289
9;2022-01;7267,280413
10;2022-01;6773,420236
11;2022-01;5537,194345
12;2022-01;6492,004417
13;2022-01;11314,37641
14;2022-01;12247,66751
15;2022-01;9709,692686
17;2022-01;2279,2528
18;2022-01;6046,128194
19;2022-01;8277,140155
20;2022-01;2429,133388
21;2022-01;3075,1221
22;2022-01;3317,887568
23;2022-01;8892,946252
24;2022-01;2255,156165
25;2022-01;9358,077825
26;2022-01;4924,379236
27;2022-01;5236,149948
28;2022-01;7160,017818
29;2022-01;6142,673015
30;2022-01;5913,488918
31;2022-01;9247,598283
32;2022-01;6600,144092
33;2022-01;4780,801338
35;2022-01;4593,191699
36;2022-01;5413,56338
38;2022-01;2691,64809
40;2022-01;2760,473943
41;2022-01;2828,290995
42;2022-01;5340,473933
43;2022-01;10530,18656
44;2022-01;3861,785755
45;2022-01;1912,64638
47;2022-01;1771,155476
48;2022-01;17765,67698
49;2022-01;7338,331029
51;2022-01;6364,310205
52;2022-01;3604,893683
20;2022-01;3751,459573
53;2022-01;7681,119552
54;2022-01;4227,431831
55;2022-01;4511,201915
12;2022-01;6327,876183
13;2022-01;12333,29215
56;2022-01;4277,091706
57;2022-01;5007,035607
60;2022-01;2758,7692
61;2022-01;10296,81492
62;2022-01;1835,266259
63;2022-01;7858,059884
64;2022-01;7945,423064
66;2022-01;6913,636657
67;2022-01;3364,7491
68;2022-01;7285,712684
69;2022-01;8147,104342
65;2022-01;3051,982962
70;2022-01;402,2285399
71;2022-01;9862,930819
72;2022-01;2830,799835
60;2022-01;2450,3916
73;2022-01;2396,972801
74;2022-01;8230,147007
75;2022-01;5488,257034
76;2022-01;3558,12919
77;2022-01;2271,717
78;2022-01;5991,216196
82;2022-01;1996,24573
83;2022-01;11237,57762
84;2022-01;7267,704193
85;2022-01;9004,222626
86;2022-01;4613,4091
87;2022-01;3598,086332
88;2022-01;5977,461077
89;2022-01;2042,837177
90;2022-01;7667,051387
71;2022-01;9538,58807
69;2022-01;7500,58412
91;2022-01;3165,6207
92;2022-01;6057,696134
89;2022-01;2578,02183
95;2022-01;4068,874926
96;2022-01;3391,593309
62;2022-01;1523,034456
97;2022-01;7076,899626
98;2022-01;9813,380829
86;2022-01;4808,890708
100;2022-01;4513,588395
102;2022-01;6488,323871
103;2022-01;4123,492786
104;2022-01;7422,227967
105;2022-01;4216,751149
106;2022-01;9831,834922
107;2022-01;2638,827882
108;2022-01;1471,660435
109;2022-01;4130,167055
54;2022-01;4956,718381
110;2022-01;9615,140871
17;2022-01;2269,7165
111;2022-01;5330,41005
112;2022-01;5248,231889
29;2022-01;6753,326941
16;2022-01;9526,007431
15;2022-01;10533,53739
28;2022-01;5336,729878
114;2022-01;2863,497751
115;2022-01;1842,08601
116;2022-01;6227,601048
117;2022-01;7196,46085
120;2022-01;5044,240224
121;2022-01;4345,988102
122;2022-01;17828,0483
123;2022-01;9582,34797
36;2022-01;5420,430516
10;2022-01;7034,065668
124;2022-01;4183,218864
125;2022-01;1357,464967
126;2022-01;3667,821384
127;2022-01;8084,593545
128;2022-01;1733,847626
129;2022-01;7751,842896
39;2022-01;3986,208402
130;2022-01;4857,997213
131;2022-01;1953,469684
132;2022-01;6488,912326
133;2022-01;7530,196386
3;2022-01;9587,710218
134;2022-01;9095,120464
136;2022-01;2051,898901
137;2022-01;8787,6611
138;2022-01;17085,68646
139;2022-01;6662,108495
140;2022-01;2485,017315
141;2022-01;7230,36963
142;2022-01;9160,73308
143;2022-01;11479,5804
144;2022-01;9183,7202
145;2022-01;18684,89693
38;2022-01;3399,968641
146;2022-01;2969,645145
147;2022-01;3038,814855
148;2022-01;3096,5426
149;2022-01;2883,1416
150;2022-01;4279,202724
128;2022-01;2095,976433
151;2022-01;2622,969446
152;2022-01;10747,99976
